id,provider_name,provider_key,type,trading_name,provider_account_key,account_name,is_inactive,account_id
13421,"Cleansed 63487981584",7cff0850-2ac3-11eb-b757-5b64ba09e132,PROVIDER,"Cleansed 63487981584",703b8e80-40bd-11eb-8b71-058abf980030,"Cleansed 63487981584",0,13602
13421,"Cleansed 63487981584",7cff0850-2ac3-11eb-b757-5b64ba09e132,PROVIDER,"Cleansed 63487981584",7d49ccf0-2ac3-11eb-9e94-63622e97d751,"Cleansed 63487981584",1,12759
9435,"Cleansed 63490435079",a2949b00-bbee-11ea-971b-736666755281,PROVIDER,"Cleansed 63490435079",a3d5f4a0-bbee-11ea-ba2c-0baa935cf7d5,"Cleansed 63490435079",0,9064
12289,"Cleansed 63505350894",78cd67c0-0dd3-11eb-ac49-3bb4e8596bcc,PROVIDER,"Cleansed 63505350894",7a1ca410-0dd3-11eb-8bb7-83b459e1e04b,"Cleansed 63505350894",0,11699
2740,"Cleansed 63519829385",fbb3d2b0-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63519829385",fbcf9810-42a3-11ea-8505-55be801921da,"Cleansed 63519829385",0,2856
13951,"Cleansed 63524310197",6a6060e0-38fb-11eb-bfb6-e3e1d3116bb6,PROVIDER,"Cleansed 63524310197",6b895080-38fb-11eb-9514-71ba7e5fdf98,"Cleansed 63524310197",0,13258
10813,"Cleansed 63527172548",633d0680-e403-11ea-9118-c99697ec47f1,PROVIDER,"Cleansed 63527172548",6468b540-e403-11ea-bbf7-27e4d0da14cb,"Cleansed 63527172548",0,10349
2741,"Cleansed 63529474801",fbe765d0-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63529474801",fc032b30-42a3-11ea-8505-55be801921da,"Cleansed 63529474801",0,2857
2742,"Cleansed 635334324",fc1c0a60-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 635334324",fc390840-42a3-11ea-8505-55be801921da,"Cleansed 635334324",0,2858
15750,"Cleansed 63541832350",09e8f9e0-6b49-11eb-87cf-7f641f45f409,PROVIDER,"Cleansed 63541832350",0a3d3460-6b49-11eb-b5e0-b9d8976ba490,"Cleansed 63541832350",0,14905
14732,"Cleansed 63547690469",767e6d80-4fa4-11eb-9e49-3d39206afdd4,PROVIDER,"Cleansed 63547690469",7796e260-4fa4-11eb-9bc6-c14dba65a1b6,"Cleansed 63547690469",0,13969
11408,"Cleansed 63558683606",1637a5e0-f6e9-11ea-8a54-b9105c38753b,PROVIDER,"Cleansed 63558683606",1774b9c0-f6e9-11ea-b720-4324c75e504a,"Cleansed 63558683606",0,10903
10719,"Cleansed 63564093380",f6be3760-e117-11ea-aa12-2925f642f118,PROVIDER,"Cleansed 63564093380",f6f8a850-e117-11ea-8b66-95181fbd52d5,"Cleansed 63564093380",0,10272
14412,"Cleansed 63579431227",5af16380-43db-11eb-b4cf-71999ff350cc,PROVIDER,"Cleansed 63579431227",5c10b630-43db-11eb-8bd0-a5e140f3e0f4,"Cleansed 63579431227",0,13680
2745,"Cleansed 63581310038",fcbcde40-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63581310038",fcd7e050-42a3-11ea-8505-55be801921da,"Cleansed 63581310038",0,2861
2748,"Cleansed 63601800499",fd580cd0-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63601800499",fd7335f0-42a3-11ea-8505-55be801921da,"Cleansed 63601800499",0,2864
2754,"Cleansed 63612818578",fea9e130-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63612818578",fec44700-42a3-11ea-8505-55be801921da,"Cleansed 63612818578",0,2870
2757,"Cleansed 63624589957",ff4584f0-42a3-11ea-967e-2f545bf9e219,PROVIDER,"Cleansed 63624589957",ff61e690-42a3-11ea-8505-55be801921da,"Cleansed 63624589957",0,2873
13186,"Cleansed 63626225634",596684a0-2559-11eb-93d7-dffcf9bc3e93,PROVIDER,"Cleansed 63626225634",5a7b5000-2559-11eb-a803-916682f34194,"Cleansed 63626225634",0,12540
11624,"Cleansed 63630524293",93de3d00-fd39-11ea-aeef-d5013eea38f4,PROVIDER,"Cleansed 63630524293",944d7990-fd39-11ea-8a6c-671bd9b9329a,"Cleansed 63630524293",0,11102
15018,"Cleansed 63631564344",dcb15fc0-56ea-11eb-90f8-d9bbd7dbdf12,PROVIDER,"Cleansed 63631564344",ddceb6a0-56ea-11eb-b416-2df42c4ecab7,"Cleansed 63631564344",0,14233
8523,"Cleansed 63634820992",38014900-a069-11ea-ae7e-a190504ac7eb,PROVIDER,"Cleansed 63634820992",391d4050-a069-11ea-bdc5-1b68a7fade0e,"Cleansed 63634820992",0,8241
15888,"Cleansed 63645975362",b8ba8670-6f2f-11eb-acdd-c5e5b1e5d7cb,PROVIDER,"Cleansed 63645975362",b90460b0-6f2f-11eb-a01c-275ba6312fd7,"Cleansed 63645975362",0,15035
15603,"Cleansed 63667629092",55ecb110-674d-11eb-9453-c18a26ca3233,PROVIDER,"Cleansed 63667629092",5633cc30-674d-11eb-8c95-a768cca3b1c1,"Cleansed 63667629092",0,14767
10878,"Cleansed 63670612289",89126070-e670-11ea-920a-919031b4b577,PROVIDER,"Cleansed 63670612289",8952ebe0-e670-11ea-aa28-8bb734432715,"Cleansed 63670612289",0,10414
13717,"Cleansed 63673231004",dcbc6b80-3378-11eb-9efc-c9afc1289782,PROVIDER,"Cleansed 63673231004",dddbbe30-3378-11eb-b893-c1284acaae20,"Cleansed 63673231004",0,13040
